SDO_CODE,Longitude,Latitude,dir
3379,11.542893,48.163202,-2.443458299
6211,12.17346,47.955004,-2.443458299
1011,7.741331,49.601695,-2.443458299
7403,10.032457,47.795529,-2.443458299
15547,9.142819,49.125949,-2.443458299
4928,9.200028,48.828085,-2.443458299
1963,8.513315,54.574167,-2.443458299
1379,9.375294,54.773679,-2.443458299
4919,8.806926,54.496485,-2.443458299
6107,9.103513,47.807556,-2.443458299
2601,8.446883,50.221797,-2.268925374
1228,6.346049,54.165071,-2.268925374
4947,10.920002,52.231737,-2.268925374
2897,9.28574,50.580797,-2.268925374
2497,6.526408,50.50141,-2.268925374
3534,11.488143,49.27127,-2.268925374
619,6.670344,53.578832,-2.268925374
3513,11.13446,50.500253,-2.268925374
1339,10.188503,52.915651,-2.268925374
3268,8.943265,48.169353,-2.268925374
2410,11.536252,48.711147,-2.268925374
4371,8.752053,52.104207,-2.268925374
5029,7.038522,49.473721,-2.268925374
5797,12.432937,50.68786,-2.268925374
1587,11.428929,48.948116,-2.268925374
102,8.1275,53.86333,-2.268925374
701,8.576089,53.53321,-2.268925374
4880,10.124031,49.087798,-2.268925374
1270,10.960753,50.982887,-2.268925374
2100,7.911932,54.185992,-2.268925374
15200,7.215665,51.25306,-2.268925374
1544,11.394174,52.512889,-2.268925374
2928,12.446226,51.31509,-2.268925374
7369,10.366126,49.162297,-2.268925374
1684,14.950606,51.162129,-2.268925374
427,13.530576,52.380702,-2.268925374
2794,12.409335,52.936248,-2.268925374
4393,8.603056,54.327907,-2.268925374
198,11.291962,51.374418,-2.268925374
4464,11.804085,50.567906,-2.268925374
2932,12.239585,51.434711,-2.268925374
856,12.540368,47.884257,-2.268925374
591,10.68781,53.391093,-2.268925374
7393,14.25327,51.449238,-2.268925374
1975,9.988102,53.633172,-2.268925374
2985,14.20938,50.938325,-2.268925374
766,7.05952,50.174545,-2.268925374
3028,8.838795,51.785416,-2.268925374
891,8.706028,53.871341,-2.268925374
3093,11.137371,52.972379,-2.268925374
3166,13.146876,50.651055,-2.268925374
1001,13.574714,51.645071,-2.268925374
3603,9.966633,49.389529,-2.268925374
4336,7.107653,49.212782,-2.268925374
125,10.866744,47.834163,-2.268925374
867,10.967938,50.306639,-2.268925374
3015,14.118032,52.208489,-2.268925374
2878,11.878575,51.39092,-2.268925374
5705,9.957627,49.770378,-2.268925374
2315,13.166608,51.765737,-2.268925374
7412,9.423765,50.008293,-2.094392449
769,9.08895,52.281691,-2.094392449
13674,8.905286,49.294262,-2.094392449
3761,9.517582,49.207016,-2.094392449
3631,7.151923,53.712304,-2.094392449
4642,11.729659,52.891088,-2.094392449
5349,12.665404,53.519622,-2.094392449
6253,12.566729,52.422811,-2.094392449
7370,12.683802,49.390952,-2.094392449
3821,11.929265,51.08716,-2.094392449
1666,9.505784,54.827332,-2.094392449
1346,8.003793,47.874842,-2.094392449
1612,12.128885,50.881208,-2.094392449
7396,9.224634,50.508396,-2.094392449
7416,8.273261,51.011235,-2.094392449
1605,12.160174,52.387511,-2.094392449
6091,7.672129,53.767428,-2.094392449
90,9.258325,50.755683,-2.094392449
10510,9.504579,48.805907,-2.094392449
7351,13.417485,53.317622,-2.094392449
96,12.851826,52.943711,-2.094392449
2796,12.279013,53.915595,-2.094392449
5371,9.942732,50.497265,-2.094392449
5825,12.786684,52.619829,-2.094392449
1357,11.837601,49.980702,-2.094392449
3287,9.099716,49.717686,-2.094392449
430,13.308848,52.564412,-2.094392449
5142,14.069809,53.744455,-2.094392449
